                             t1   p-value (t1)         t2   p-value (t2)  
--------------------------------------------------------------------------
          mardia   170982.06069        0.88985   -2.98732      0.00281**  
         royston      104.72197        0.35354                            
   henze-zirkler            1.0            1.0                            
  doornik-hansen      190.58107        0.67187                            
          energy        5.28775           0.54                            
-----------------------------------------------------------------------------------------------------------
  col        jb   p-value (jb)        k2   p-value (k2)        ks   p-value (ks)        sw   p-value (sw)  
   91   0.65475        0.72081   0.67622        0.71312    0.0272        0.44739   0.99829        0.42306  
   92    0.9314         0.6277   1.06505        0.58712   0.02828        0.39655   0.99888        0.80465  
   93   2.08579        0.35243   2.17961        0.33628   0.02457        0.58219   0.99825         0.4037  
   94   0.96027         0.6187     0.885        0.64243   0.01956        0.83898   0.99899        0.86771  
   95   6.92431       0.03136*   6.88233       0.03203*   0.02781        0.41829   0.99745         0.1206  
   96   0.32991        0.84793   0.28001        0.86936    0.0208        0.78014   0.99849        0.54664  
   97   0.85507        0.65211   0.77766        0.67785   0.02068        0.78562   0.99836        0.46734  
   98   0.11877        0.94234   0.13423        0.93509   0.01698        0.93531   0.99862        0.63384  
   99   1.97915        0.37173   2.00064        0.36776   0.04159        0.06112   0.99777        0.19916  
  100   4.11593        0.12771   4.26008        0.11883   0.02987        0.32924   0.99816         0.3566  
-----------------------------------------------------------------------------------------------------------
