                           t1   p-value (t1)        t2   p-value (t2)  
-----------------------------------------------------------------------
          mardia   173303.594        0.00317   2.93243        0.00336  
         royston   1687.54623            0.0                           
   henze-zirkler          1.0            0.0                           
  doornik-hansen    1439.2044            0.0                           
          energy      5.29655           0.06                           
-------------------------------------------------------------------------------------------------------------
  col         jb   p-value (jb)         k2   p-value (k2)        ks   p-value (ks)        sw   p-value (sw)  
   83    4.45106        0.10801    4.55053        0.10277   0.08122        0.0****   0.99531      0.00365**  
   84   15.80736     0.00037***   11.30078      0.00352**   0.10153        0.0****   0.99129      1e-05****  
   85    10.5325      0.00516**    7.64936       0.02183*   0.08943        0.0****   0.99415     0.00061***  
   86   22.72009      1e-05****   13.70491      0.00106**   0.08516        0.0****   0.99288     0.0001****  
   87   10.73476      0.00467**    9.23312      0.00989**   0.08391        0.0****   0.99113      1e-05****  
   88   15.91553     0.00035***   11.34669      0.00344**   0.08823        0.0****   0.99169      2e-05****  
   89   35.45194        0.0****   18.89017      8e-05****   0.08181        0.0****   0.98977        0.0****  
   90    17.4748     0.00016***   11.60936      0.00301**   0.07987      1e-05****   0.99176      2e-05****  
   91   19.72045      5e-05****   12.74085      0.00171**   0.08541        0.0****    0.9924      5e-05****  
   92    9.40821      0.00906**    7.55586       0.02287*   0.08537        0.0****   0.99473      0.00146**  
   93    2.85386        0.24005     2.6829        0.26147   0.07731      1e-05****   0.99407     0.00055***  
   94     7.1035       0.02867*    5.74241        0.05663   0.08642        0.0****   0.99407     0.00055***  
   95    19.1659      7e-05****   12.16591      0.00228**   0.09341        0.0****   0.99336      0.0002***  
   96    60.4975        0.0****   28.61097        0.0****   0.08344        0.0****   0.98719        0.0****  
   97   26.98824        0.0****   15.57415     0.00042***   0.08565        0.0****   0.99068      1e-05****  
   98   13.37979      0.00124**    9.48414      0.00872**   0.09254        0.0****   0.99207      3e-05****  
   99    7.14645       0.02807*    6.03247       0.04899*   0.07749      1e-05****   0.99524      0.00324**  
  100   30.60668        0.0****   19.03513      7e-05****   0.08678        0.0****   0.99176      2e-05****  
-------------------------------------------------------------------------------------------------------------
